Sample	input_raw_reads	fastp	bowtie
SRR9224451	7398634	6809547	6809547
SRR9224452	7165971	6651926	6651924
SRR9224453	5439666	5117142	5117142
SRR9224454	8218747	7427302	7427299
SRR9224455	9295809	8370096	8370094
SRR9224456	7917199	7254628	7254628
SRR9224457	8110073	7435117	7435117
SRR9224458	19844523	16935998	16935996
SRR9224459	21941451	19692237	19692229
SRR9224460	22331345	18536562	18536549
SRR9224461	18696827	16029895	16029893
SRR9224462	7680890	7119353	7119301
SRR9224463	25232643	22353408	22353401
SRR9224464	27710823	24712013	24712010
SRR9224465	15761973	13961946	13961946
SRR9224466	26367406	23292462	23292453
SRR9224467	15657247	14047800	14047796
SRR9224468	24175849	22131049	22131044
SRR9224469	15351137	13609094	13609091
SRR9224470	6871376	6240308	6240300
SRR9224471	11296691	10498938	10498934
SRR9224472	7395443	6747887	6747884
SRR9224473	6223603	5727392	5727371
SRR9224474	9136624	8227715	8227712
SRR9224475	9509110	8141579	8141570
SRR9224476	5648319	4985827	4985826
SRR9224477	5757395	5007868	5007866
SRR9224478	4757550	4274377	4274376
SRR9224479	14361698	13805479	13805478
SRR9224480	8569517	8208202	8208201
SRR9224481	8648784	8255986	8255985
SRR9224482	7682445	7385526	7385521
SRR9224483	10604127	10187463	10187461
SRR9224484	14160384	13546659	13546647
SRR9224485	13026992	12499564	12499558
SRR9224486	8625851	8278476	8278475
SRR9224487	9927138	8908339	8908327
SRR9224488	10337358	9888651	9888650
SRR9224489	9403969	8981561	8981557
SRR9224490	6459038	5845939	5845938
SRR9224491	5507764	4362157	4362155
SRR9224492	16203493	14531923	14531919
SRR9224493	7750090	7199102	7199102
SRR9224494	8512898	7671379	7671371
SRR9224495	9791785	9136881	9136881
SRR9224496	7972802	7451715	7451715
SRR9224497	9054879	8388779	8388771
SRR9224498	11052707	10260191	10260174
SRR9224499	12999347	11743363	11743362
SRR9224500	9983015	9127698	9127698
SRR9224501	1882883	1766642	1766642
SRR9224502	6390409	5919258	5919258
SRR9224503	10342849	8891466	8891464
SRR9224504	11448176	10265591	10265590
SRR9224505	5970903	5137809	5137809
SRR9224506	7434981	6504244	6504243
SRR9224507	8833177	7715304	7715303
SRR9224508	3384404	2994453	2994442
SRR9224509	5733463	5244776	5244775
SRR9224510	7207436	6514000	6513997
SRR9224511	4453434	4007340	4007337
SRR9224512	6383280	5752253	5752251
SRR9224513	6317945	5569099	5569099
SRR9224514	5527937	4924420	4924418
SRR9224515	2899771	2526383	2526381
SRR9224516	1584580	1380613	1380611
SRR9224517	7322001	6377221	6377217
SRR9224518	10480866	9328277	9328276
SRR9224519	7086750	6133984	6133983
SRR9224520	9569446	8219593	8219590
SRR9224521	5233109	4653044	4653042
SRR9224522	5659861	4715233	4715229
SRR9224523	4121877	3586600	3586599
SRR9224524	7671662	6009880	6009879
SRR9224525	9020961	7261399	7261398
SRR9224526	7256105	5879155	5879155
SRR9224527	9495050	8022127	8022125
SRR9224528	5150778	4304252	4304252
